Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ireland,Mining and quarrying,7.2,5.72,4.56,4.63,4.17,4.69,5.79,6.2,5.82,5.92
Greece,Mining and quarrying,27.54,20.18,23.67,21.77,16.28,14.44,10.32,9.78,8.76,8.05
Spain,Mining and quarrying,73.39,89.47,94.05,78.44,82.62,81.16,71.27,43.3,40.97,49.15
France,Mining and quarrying,89.42,83.29,83.19,51.11,55.17,65.37,71.83,71.67,77.52,79.36
Croatia,Mining and quarrying,0.76,0.98,1.1,0.79,0.62,0.65,0.54,0.67,0.63,0.65
Italy,Mining and quarrying,333.36,444.49,324.56,521.75,510.77,525.42,577.34,555.95,482.77,486.16
Cyprus,Mining and quarrying,1.26,1.17,1.05,1.3,0.67,0.39,0.41,0.37,0.48,0.2
Latvia,Mining and quarrying,0.5,0.42,0.39,0.42,0.44,0.52,0.48,0.6,0.83,0.89
Lithuania,Mining and quarrying,0.79,0.49,0.48,0.51,0.5,0.65,0.7,0.63,0.61,0.62
Luxembourg,Mining and quarrying,0.08,0.07,0.08,0.08,0.08,0.09,0.12,0.19,0.17,0.18
Hungary,Mining and quarrying,2.29,3.09,2.65,3.63,3.05,1.95,2.97,2.99,3.05,3.21
Malta,Mining and quarrying,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Netherlands,Mining and quarrying,29.14,25.05,28.22,26.51,26.91,30.82,32.1,31.1,34.34,34.39
Austria,Mining and quarrying,5.16,5.09,5.47,4.76,4.22,3.66,2.57,2.35,2.37,2.37
Poland,Mining and quarrying,27.3,19.43,14,16.76,13.82,13.06,12.61,14.87,13.51,14
Portugal,Mining and quarrying,6.1,5.7,5.9,6.2,5.4,5,5.2,5.6,5.5,5.6
Romania,Mining and quarrying,8.68,7.54,7.67,7.91,7.64,7.42,7.31,6.99,4.84,4.81
Slovenia,Mining and quarrying,4.86,4.15,3.46,2.93,2.49,2.78,2.54,2.76,2.55,2.53
Slovakia,Mining and quarrying,2.89,2.86,2.82,2.72,3.21,4.15,2.8,2.55,2.38,4.12
Finland,Mining and quarrying,7.55,6.83,7.03,7.15,6.9,6.51,6.25,6.18,6.46,6.31
Sweden,Mining and quarrying,23.64,19.38,25.82,26.52,29,27.24,30.21,28.89,29.98,32.37
United Kingdom,Mining and quarrying,1773.16,1670.57,1561.44,1529.62,1502.22,1271.61,1389.3,1529.36,1495.33,1471.68
Iceland,Mining and quarrying,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,-1
Norway,Mining and quarrying,55.08,43.71,47,48.49,47.98,51.35,50.03,48.61,47.39,-1
Switzerland,Mining and quarrying,1.59,1.66,1.89,1.93,2.02,2.04,2,2.04,2.43,-1
Serbia,Mining and quarrying,-1,-1,56.99,67.48,43.82,56.94,38.05,-1,-1,-1
Turkey,Mining and quarrying,29.23,29.03,29.43,29.78,34.79,36.97,38.35,39.31,41.34,-1
EU28,Manufacturing,135331.53,104384.76,70036.48,54258.16,48210.53,40543.82,40262.07,40539.29,37199.05,39063.04
Belgium,Manufacturing,7157.59,7191.38,9098.19,5226.35,5496.39,4807.7,4546.32,4151.34,3848.34,4099.06
Bulgaria,Manufacturing,104.14,35.27,35.8,40.8,42.51,38.46,38.08,40.84,43.15,42.8
Czechia,Manufacturing,2513.13,1978.11,1535,1671,1689.96,1140.45,1257.29,1364.99,1121.12,1235.33
Denmark,Manufacturing,208.99,171.7,183.73,178.78,159.38,147.44,145.28,148.87,145.6,146.85
Germany,Manufacturing,33505.44,34475.55,7632.9,6529.15,5470.58,5645.26,5462.32,5648.19,5390.34,5467.55
Estonia,Manufacturing,64.39,59.37,40.25,103.31,78.71,98.31,110.23,112.31,107.33,92.07
Ireland,Manufacturing,71.55,59.48,60.27,47.2,46.41,50.29,57.76,57.47,53.65,54.88
Greece,Manufacturing,2128.86,1919.61,2076.01,2160.85,1603.7,679.32,712.64,723.5,671.6,688.45
Spain,Manufacturing,4804.16,4399.48,3227.19,2280.07,2113.97,2120.83,2048.66,2084.03,2139.12,2252.13
France,Manufacturing,16188.36,13735.9,8269.31,5176.59,3866.07,3823.46,4438.54,4813.52,4054.17,4080.42
