Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
France,"Electricity, gas, steam and air conditioning supply",40218862,39005602,40909925,32821303,36205494,36067073,23190912,25663659,29193970,31973449
Croatia,"Electricity, gas, steam and air conditioning supply",6294557,5361913,4964002,5088599,4528681,4281335,3704029,3759716,4031656,3895578
Italy,"Electricity, gas, steam and air conditioning supply",132514803,110915317,111994008,111479925,109093748,99330497,85941980,90577052,89756983,89070308
Cyprus,"Electricity, gas, steam and air conditioning supply",3993369,3992677,3871002,3713941,3549272,2832259,2942621,3025409,3302390,3412787
Latvia,"Electricity, gas, steam and air conditioning supply",1950877,1897860,2278532,2086265,1875831,1938129,1681588,1757424,1836120,1532884
Lithuania,"Electricity, gas, steam and air conditioning supply",2989731,3106931,3760956,2899623,2973516,2377040,1841210,1697966,1457769,1334002
Luxembourg,"Electricity, gas, steam and air conditioning supply",1130300,1276300,1319700,1119300,1136100,770100,722000,493700,282000,260090
Hungary,"Electricity, gas, steam and air conditioning supply",18955981,15887251,16353275,15773421,15113788,12540380,11733017,12208599,11931754,12174282
Malta,"Electricity, gas, steam and air conditioning supply",1447302,1278184,1194517,1262068,1389694,1114285,1071271,501114,305954,400304
Netherlands,"Electricity, gas, steam and air conditioning supply",49824866,49772339,51858140,47661910,44681603,44796022,48471809,53166796,51933374,48470936
Austria,"Electricity, gas, steam and air conditioning supply",10594534,9511270,10943950,10617077,9206904,8199835,6581551,7580997,7425317,7825440
Poland,"Electricity, gas, steam and air conditioning supply",161394176,155141210,160368162,162017159,156835655,158118663,149684905,151395617,151362088,152010112
Portugal,"Electricity, gas, steam and air conditioning supply",16862600,16874100,11838800,13975400,14961700,12318700,12039400,15583200,14499500,17947866
Romania,"Electricity, gas, steam and air conditioning supply",43312719,35493412,32742765,37384761,34499050,27575922,27871683,27948389,24884906,26230672
Slovenia,"Electricity, gas, steam and air conditioning supply",6547796,6268361,6390810,6427671,6129292,5819115,4471312,4589816,4970969,4885213
Slovakia,"Electricity, gas, steam and air conditioning supply",7485198,6739745,6561460,6704402,6291720,5955496,5195634,5473446,5419309,5305193
Finland,"Electricity, gas, steam and air conditioning supply",21094260,22324594,27698874,21505710,17761737,19122952,17914411,15057342,16974368,15713011
Sweden,"Electricity, gas, steam and air conditioning supply",7562525,7882916,10390068,8142002,7559608,7274992,6459200,6247466,6643983,6500897
United Kingdom,"Electricity, gas, steam and air conditioning supply",176086000,154317977,160748903,147549886,160840946,149698537,126362124,106100912,83771613,73822368
Iceland,"Electricity, gas, steam and air conditioning supply",6499,4677,5123,4150,5554,5561,6670,6092,4644,-1
Norway,"Electricity, gas, steam and air conditioning supply",825963,1842725,2463085,2269721,1748113,1743472,1701688,1693780,1664773,-1
Switzerland,"Electricity, gas, steam and air conditioning supply",561513,542927,644983,505454,574366,578750,401184,502201,589780,-1
Serbia,"Electricity, gas, steam and air conditioning supply",-1,-1,28389773,31968122,29754836,31215406,24511983,-1,-1,-1
Turkey,"Electricity, gas, steam and air conditioning supply",114638433,115635480,109759931,120937720,121974411,116753605,127247382,130078449,137118507,-1
EU28,"Water supply; sewerage, waste management and remediation activities",41263392,40132099,40841449,38439385,38122918,38797867,38698697,39069729,39841225,40158479
Belgium,"Water supply; sewerage, waste management and remediation activities",1082418,950397,1044954,940036,961292,774235,575248,801584,750177,799081
Bulgaria,"Water supply; sewerage, waste management and remediation activities",84745,86648,85554,89450,99199,69013,83510,83997,81458,85558
Czechia,"Water supply; sewerage, waste management and remediation activities",604370,553935,554226,531547,510298,518771,546684,564149,568260,553766
Denmark,"Water supply; sewerage, waste management and remediation activities",1180629,1104968,1111975,1177017,1219097,1297657,1334275,1417299,1424788,1427683
Germany,"Water supply; sewerage, waste management and remediation activities",9102015,9644228,7290821,7952213,7532522,8196108,7645174,7613239,7635733,7860002
Estonia,"Water supply; sewerage, waste management and remediation activities",45736,52715,35151,26554,32020,23990,29609,28897,29635,28961
Ireland,"Water supply; sewerage, waste management and remediation activities",663482,462137,335031,205368,230081,215876,197195,198910,201909,200684
Greece,"Water supply; sewerage, waste management and remediation activities",4880,4800,4340,4010,2280,2220,2320,2600,2526,2409
Spain,"Water supply; sewerage, waste management and remediation activities",1041849,1072057,1022341,1080992,1130814,1211229,1377822,1522076,1693519,1697346
France,"Water supply; sewerage, waste management and remediation activities",9963114,9947836,10333165,10449550,10330987,9434285,9582100,9460580,9337966,9341464
Croatia,"Water supply; sewerage, waste management and remediation activities",2021,1499,1384,1337,1263,1325,1176,1222,1287,1354
Italy,"Water supply; sewerage, waste management and remediation activities",8988621,7558109,10097826,6920712,7094668,7667774,8013552,8094214,7943758,7882986
Cyprus,"Water supply; sewerage, waste management and remediation activities",13006,13153,16634,17482,16683,13823,13827,13677,16435,16985
Latvia,"Water supply; sewerage, waste management and remediation activities",38547,57689,41386,36735,25948,22877,29739,32254,35403,37891
Lithuania,"Water supply; sewerage, waste management and remediation activities",11059,26849,29021,32294,23098,23406,25784,20143,14241,14655
Luxembourg,"Water supply; sewerage, waste management and remediation activities",18000,15600,17500,18100,11300,12500,19600,16900,15077,15346
Hungary,"Water supply; sewerage, waste management and remediation activities",303200,306571,342636,290914,264790,258973,260870,216379,205336,216353
Malta,"Water supply; sewerage, waste management and remediation activities",4500,2713,2527,3063,3420,2961,3001,2783,2740,2790
Netherlands,"Water supply; sewerage, waste management and remediation activities",2765691,3086461,3029209,3179462,3121788,3395368,3353704,3158269,3337657,3402876
Austria,"Water supply; sewerage, waste management and remediation activities",325545,318528,311160,273935,230441,224518,218920,218875,225175,232659
Poland,"Water supply; sewerage, waste management and remediation activities",452513,516006,614539,704389,786786,875025,833667,906843,1508012,1539492
Portugal,"Water supply; sewerage, waste management and remediation activities",602000,667400,653000,682200,653600,687500,726200,761300,806400,840609
Romania,"Water supply; sewerage, waste management and remediation activities",679780,472815,533649,641788,649802,659578,623695,688438,640313,674599
Slovenia,"Water supply; sewerage, waste management and remediation activities",5168,6389,7151,7208,7511,17014,20246,27264,23513,23568
Slovakia,"Water supply; sewerage, waste management and remediation activities",125286,118110,101867,107444,102481,94224,93746,87160,85230,87743
Finland,"Water supply; sewerage, waste management and remediation activities",293832,333908,329692,293506,349254,397615,380642,356843,383148,357057
Sweden,"Water supply; sewerage, waste management and remediation activities",231733,224585,246081,256252,257161,242415,241285,240397,228719,223793
United Kingdom,"Water supply; sewerage, waste management and remediation activities",2629652,2525990,2648630,2515829,2474335,2457588,2465105,2533437,2642808,2590768
Iceland,"Water supply; sewerage, waste management and remediation activities",10461,10453,10191,11179,11561,10772,11432,14868,13143,-1
Norway,"Water supply; sewerage, waste management and remediation activities",124083,105902,67994,75117,84850,76671,79613,79515,83250,-1
Switzerland,"Water supply; sewerage, waste management and remediation activities",2374212,2290343,2367693,2335638,2406158,2353598,2405041,2485184,2533813,-1
Serbia,"Water supply; sewerage, waste management and remediation activities",-1,-1,16384,18710,16515,17426,17702,-1,-1,-1
Turkey,"Water supply; sewerage, waste management and remediation activities",399343,423193,470628,423516,432369,413647,393527,363447,379511,-1
EU28,Construction,62147289,59645210,59018290,59965085,58225203,56221290,54655089,57328485,57736880,58840688
Belgium,Construction,2270359,2209600,2325084,2408189,2591312,2571466,2275605,2192218,2017403,2053881
Bulgaria,Construction,652188,537114,537602,575839,639525,506612,621956,804021,528107,554692
Czechia,Construction,1523456,2106256,1315894,1268799,1191579,742100,983378,1039808,1011869,959132
Denmark,Construction,1512584,1343623,1501193,1583241,1394863,1147997,1276927,1368737,1423249,1442740
Germany,Construction,8730413,8558462,9201549,9522330,9225558,9803026,9645915,10534093,10932354,11248289
Estonia,Construction,210261,178838,114764,121321,192181,172698,146584,158116,155180,150194
Ireland,Construction,521862,361449,323962,577649,494301,476554,432928,442252,470145,481375
Greece,Construction,778310,709517,697120,678540,654781,149520,210781,287238,294827,297000
Spain,Construction,1045216,829989,747777,653203,588569,366093,362648,390030,437905,455811
