Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Serbia,"Agriculture, forestry and fishing",-1,-1,115979.55,114654.06,113916.4,112693.1,110592.42,-1,-1,-1
Turkey,"Agriculture, forestry and fishing",903480.62,886044.46,950593.98,1026257.73,1160565,1210470.03,1226039.82,1211922,1216414.61,-1
EU28,Mining and quarrying,1745349.74,1613766.42,1578990.48,1557462.41,1590428.98,1496690.01,1452259.96,1469786.13,1383472.02,1368302.01
Belgium,Mining and quarrying,2049.71,1982.63,1970.61,1923.85,1794.28,1859.37,1743.08,1806.65,1701.71,1701.71
Bulgaria,Mining and quarrying,3407.38,7293.34,7785.76,8621.87,7778.83,6353.15,6890.24,7904.83,6219.47,6001.38
Czechia,Mining and quarrying,222453.52,204468.34,204695.88,205022.73,203100.95,169735.49,167439.78,164836.22,151968.2,151967.93
Denmark,Mining and quarrying,7087.07,5718.51,5520.78,4317.08,3851.52,3531.17,3366.34,3284.92,3183.82,3186.83
Germany,Mining and quarrying,185532.96,139068.16,137752.19,130375.52,165436.91,143876.09,112352.31,123610.25,98749.72,98739.85
Estonia,Mining and quarrying,6.05,1.2,1.8,7.13,3.56,2.48,3.66,3.86,7.54,8.16
Ireland,Mining and quarrying,1471.38,878.6,861.65,845.01,837.73,817.29,1160.6,1126.06,1110,1097.38
Greece,Mining and quarrying,1845.24,1075.36,810.6,804.6,805.75,829.75,827.65,809.57,752.37,670.18
Spain,Mining and quarrying,27309.1,23094.6,21640.65,16009.15,14150.4,14881.39,12077.43,6612.95,5523.72,5566.05
France,Mining and quarrying,5038.38,4760.35,4853.65,4308.69,3474.48,3506.01,3218.79,3384.29,3393.37,3402.98
Croatia,Mining and quarrying,8510.78,8276.13,8144.51,7412.1,6224.85,5899.59,5640.1,5965.43,5898.99,5862.58
Italy,Mining and quarrying,26099.73,22365.92,24469.57,24941.73,25210.95,24276.01,24507.47,22872.02,17628.56,17451.69
Cyprus,Mining and quarrying,3.53,3.24,2.83,3.58,2.1,1.16,1.3,1.14,1.42,1.41
Latvia,Mining and quarrying,2.12,1.55,1.48,1.69,1.5,2.1,1.68,1.57,1.93,1.96
Lithuania,Mining and quarrying,142.58,127.93,127.62,127.28,114.02,93.44,92.24,82.26,71.86,71.86
Luxembourg,Mining and quarrying,0.04,0.04,0.04,0.02,0.1,0.15,0.11,0.08,0.08,0.08
Hungary,Mining and quarrying,15377.89,15465.76,15123.93,14167.47,13097.06,12254.81,12042.74,11411.62,12019.9,14066.17
Malta,Mining and quarrying,0.63,0.47,0.45,0.42,0.41,0.39,0.38,0.39,0.38,0.36
Netherlands,Mining and quarrying,35707.42,30016.47,33050.9,33293.81,31479.41,28695.19,27766.08,26428.48,24552.95,22306
Austria,Mining and quarrying,5566.2,5832.25,6241.22,5871.35,6076.99,5385.93,5021.81,4738.14,4657.07,4602.26
Poland,Mining and quarrying,773770.73,734518.89,718426.55,709380.38,712524.54,729830.41,734582.33,771152.65,778449.29,777188.37
Portugal,Mining and quarrying,473.5,462,446.5,435.2,411.2,399.7,394.2,393.1,380.4,421.41
Romania,Mining and quarrying,222113.05,206995.95,193973.22,197528.45,202485.06,191157.57,185030.34,180531.3,168349.75,162501.25
Slovenia,Mining and quarrying,12247.77,11994.39,11997.31,12175.44,11571.6,10680.16,8601.83,8727.85,9189.76,9168.33
Slovakia,Mining and quarrying,26750.95,25260.62,23468.61,24556.39,20675.46,22111.07,20081.71,19741.42,20192.56,18475.88
